ID,owner_age,personal_income,business_expenses,business_turnover,business_age_years,Target,savings_and_assets,debt_and_repayment,res_to_shocks,access_to_cred
ID_1AYAQR,28.0,80000.0,25000.0,10000.0,12.0,Low,23.512,45.63400000000001,81.20400000000001,35.157
ID_1PV9FA,57.0,1500.0,9600.0,18000.0,,Low,33.412,34.216,115.19300000000001,34.221
ID_84XYJO,32.0,7000.0,400.0,250.0,0.0,Medium,38.426,48.77100000000001,56.054,35.157
ID_PQV6UU,20.0,80.0,480.0,960.0,4.0,Low,22.278,34.896,115.02000000000001,34.221
ID_Z9LPHU,51.0,60000.0,15000.0,35000.0,5.0,Low,23.512,48.77100000000001,115.35900000000001,33.285
ID_Q77YY5,28.0,150.0,1440.0,2400.0,7.0,Low,22.278,34.216,115.02000000000001,34.221
ID_NZ5X51,40.0,500.0,10000.0,15000.0,1.0,Low,27.853,49.21600000000001,115.186,35.157
ID_29ASAJ,35.0,350000.0,170000.0,10000000.0,,Medium,33.42,45.654,80.69200000000001,11.719
ID_5YU3TT,37.0,700000.0,340000.0,8400000.0,,Low,24.732,46.31400000000001,80.69200000000001,36.092999999999996
ID_LUUJ7K,20.0,240000.0,1824000.0,2880000.0,2.0,Medium,30.299,45.654,80.69200000000001,33.285
ID_7DXJ17,25.0,500.0,400.0,500.0,1.0,Low,20.513,39.45,79.218,23.438
ID_3AH4EM,52.0,120000.0,85000.0,450000.0,8.0,Low,23.512,44.974000000000004,81.20400000000001,35.157
ID_SYM7D0,39.0,600000.0,180000.0,50000.0,4.0,Low,30.299,45.63400000000001,80.69200000000001,35.157
ID_1M3JLZ,41.0,2500.0,8760.0,57000.0,1.0,Low,27.853,47.45100000000001,114.674,35.157
ID_YS0WI4,29.0,5000.0,800.0,1500.0,1.0,Low,17.392,30.954,79.73,23.438
ID_N42X2E,76.0,3000.0,40000.0,90000.0,30.0,Low,22.945,39.4,115.02000000000001,33.285
ID_Q3Q5PC,59.0,40.0,70.0,110.0,2.0,Low,20.513,34.536,79.73,23.438
ID_FTM6CM,41.0,250.0,1800.0,1200.0,4.0,Low,22.278,34.216,115.19300000000001,33.285
ID_KK1R6L,33.0,4500.0,300.0,500.0,7.0,Low,20.513,26.040000000000003,80.07600000000001,23.438
ID_LCSVFX,36.0,30.0,250.0,400.0,13.0,Low,37.759,34.896,115.53200000000001,34.221
ID_HEYCE4,39.0,1800.0,900.0,1800.0,7.0,Low,44.554,56.587,115.53200000000001,33.285
ID_O5URTX,36.0,15000.0,90000.0,105000.0,0.0,High,45.229,48.77100000000001,71.57900000000001,33.285
ID_WNLEPH,18.0,30.0,70.0,200.0,3.0,Medium,17.392,34.536,80.07600000000001,23.438
ID_K3FN3L,82.0,100.0,1200.0,3000.0,30.0,Low,22.278,34.896,115.19300000000001,34.221
ID_0ABGB8,35.0,3000.0,2000.0,3000.0,1.0,Low,20.513,34.536,79.73,22.502
ID_SXAAQF,51.0,70.0,540.0,840.0,21.0,Low,22.278,34.896,115.02000000000001,34.221
ID_7A3B0C,38.0,400.0,54000.0,90000.0,2.0,Low,22.278,34.896,115.02000000000001,34.221
ID_IBRGE8,29.0,50000.0,80000.0,120000.0,,Medium,21.611,48.77100000000001,80.69200000000001,33.285
ID_VHU4BA,67.0,500.0,350.0,50.0,15.0,Low,27.853,39.4,115.53200000000001,33.285
ID_YE5LLX,19.0,100.0,720.0,10800.0,0.0,Low,38.979,34.216,144.24,34.221
ID_TPG7UV,25.0,500000.0,140000.0,6000000.0,,Low,24.732,45.654,80.69200000000001,35.157
ID_BLZZBL,27.0,25.0,120.0,180.0,0.0,Medium,22.278,39.13,66.47800000000001,34.221
ID_GQ3A7C,54.0,700.0,6000.0,18000.0,10.0,Low,33.412,34.216,115.19300000000001,34.221
ID_G3MWU4,52.0,1500.0,1200.0,1500.0,1.0,Medium,49.462,41.400000000000006,66.132,33.285
ID_TIVEH8,23.0,1650000.0,1000000.0,1650000.0,10.0,Low,30.299,45.63400000000001,80.69200000000001,35.157
ID_DR756S,63.0,1000.0,600.0,1000.0,33.0,Low,20.513,34.536,80.24900000000001,22.502
ID_D4KUC8,30.0,150.0,1080.0,3000.0,3.0,Low,33.412,34.896,115.02000000000001,34.221
ID_X9MY4I,36.0,590000.0,180000.0,540000.0,11.0,Low,21.611,45.654,81.20400000000001,33.285
ID_KHBEDB,55.0,140000.0,432000.0,560000.0,,Low,24.732,45.654,81.20400000000001,35.157
ID_XKWQ0Y,33.0,2000.0,6650.0,16000.0,0.0,Low,32.745,48.09100000000001,114.674,33.285
ID_HLU8M8,32.0,450.0,350.0,950.0,0.0,Low,34.095,40.08,114.674,33.285
ID_IJXM5L,59.0,150000.0,95000.0,100000.0,10.0,Low,18.059,36.051,79.56400000000001,22.502
ID_PUD6W0,33.0,700000.0,150000.0,675000.0,14.0,Low,30.299,48.77100000000001,80.69200000000001,33.285
ID_E9ZWVI,47.0,10000.0,5000.0,8000.0,10.0,Low,29.079,45.63400000000001,81.20400000000001,35.157
ID_7ODKEF,54.0,2800.0,2600.0,5000.0,2.0,Medium,33.403999999999996,39.4,115.02000000000001,35.157
ID_4R9V4K,50.0,6000.0,30000.0,60000.0,15.0,Low,44.554,48.77100000000001,115.19300000000001,35.157
ID_NTBZ3M,36.0,2000.0,10000.0,35000.0,2.0,Low,27.853,48.77100000000001,115.186,35.157
ID_WUDRGT,46.0,5500.0,4500.0,10000.0,17.0,Medium,20.513,39.45,79.56400000000001,22.502
ID_X4SVKK,38.0,50.0,360.0,960.0,3.0,Low,22.278,34.896,115.53200000000001,34.221
ID_AXTA8R,47.0,80.0,720.0,1800.0,1.0,Medium,22.278,34.896,66.47800000000001,33.285
ID_EFQJG0,55.0,70000.0,200000.0,420000.0,1.0,High,38.426,24.458,115.53200000000001,33.285
ID_Z43XZ6,61.0,1000.0,1500.0,2500.0,11.0,Medium,27.853,48.77100000000001,66.47800000000001,33.285
ID_NRQ277,40.0,590000.0,150000.0,6000000.0,7.0,Low,23.512,46.31400000000001,80.69200000000001,35.157
ID_ZWTY25,35.0,2000.0,5000.0,6000.0,2.0,Low,22.3,35.391000000000005,79.218,22.502
ID_OYHDOW,50.0,97.0,2000.0,13000.0,4.0,Low,14.938,50.478,79.56400000000001,22.502
ID_PLBBB0,43.0,2500.0,48000.0,72000.0,8.0,Medium,39.646,48.77100000000001,66.47800000000001,33.285
ID_8UE1MY,33.0,2600.0,5000.0,8000.0,5.0,Low,44.554,48.77100000000001,115.53200000000001,35.157
ID_G0AHWT,29.0,3500.0,1920.0,4200.0,2.0,Low,33.412,26.400000000000002,115.02000000000001,34.221
ID_46OOJJ,21.0,900000.0,20000.0,30000.0,,Low,24.732,45.654,80.69200000000001,35.157
ID_6N6975,34.0,1500.0,1500.0,5000.0,5.0,High,50.137,62.05300000000001,67.16300000000001,33.285
ID_OQUC0V,37.0,400.0,5000.0,5000.0,5.0,Medium,38.979,34.896,55.888,33.285
ID_THVYTG,36.0,100.0,780.0,1200.0,2.0,Low,38.979,34.216,115.02000000000001,34.221
ID_QAW4TE,45.0,500.0,6000.0,500.0,1.0,Medium,20.513,43.032000000000004,79.218,22.502
ID_B4IBHI,37.0,200.0,800.0,1200.0,4.0,Low,27.853,48.77100000000001,115.19300000000001,33.285
ID_OQ7QH9,40.0,2500.0,4000.0,1000.0,5.0,Low,22.945,40.08,115.02000000000001,33.285
ID_OKDZGE,31.0,15000.0,9500.0,5000.0,8.0,Low,24.732,45.654,81.20400000000001,33.285
ID_2QLGDV,34.0,3000.0,500.0,5000.0,10.0,Low,34.079,40.08,115.70500000000001,33.285
ID_L3RFJL,48.0,2600.0,3000.0,8000.0,1.0,Medium,44.554,41.400000000000006,66.132,35.157
ID_F9TXMJ,40.0,2300000.0,200000.0,12000000.0,5.0,Low,19.823999999999998,56.607,80.69200000000001,33.285
ID_5TBDJG,43.0,3500.0,1000.0,400.0,2.0,Low,20.513,35.196000000000005,79.56400000000001,22.502
ID_NUP782,50.0,300.0,1800.0,3600.0,17.0,Low,22.278,26.400000000000002,115.70500000000001,34.221
ID_KH5840,46.0,5000.0,30000.0,120000.0,7.0,Medium,34.095,41.400000000000006,66.47800000000001,33.285
ID_K711UZ,36.0,6000.0,1000.0,1600.0,2.0,Low,22.3,26.895000000000003,79.73700000000001,22.502
ID_LFVA6A,23.0,150000.0,1100000.0,2300000.0,1.0,Low,30.299,46.31400000000001,81.20400000000001,33.285
ID_OLAFSJ,34.0,50000.0,109000.0,30000.0,6.0,Low,30.299,46.31400000000001,80.69200000000001,33.285
ID_IM2L18,38.0,450000.0,50000.0,450000.0,,Low,25.391,46.31400000000001,80.69200000000001,35.157
ID_98CXGP,38.0,300.0,43200.0,57600.0,0.0,Medium,38.979,34.216,72.36800000000001,33.285
ID_1MQP8E,35.0,50.0,3600.0,5400.0,2.0,Low,22.278,34.216,115.02000000000001,34.221
ID_AV917R,56.0,1500.0,1500.0,5000.0,3.0,Low,44.554,48.77100000000001,115.53200000000001,33.285
ID_3OBKJQ,72.0,10000.0,84000.0,300000.0,32.0,Low,30.299,46.31400000000001,81.20400000000001,35.157
ID_NYWBTF,30.0,50.0,2400.0,3600.0,4.0,Low,38.979,34.896,115.02000000000001,34.221
ID_7DIVZG,54.0,50.0,1560.0,720.0,0.0,Low,32.192,34.556000000000004,115.53200000000001,34.221
ID_BEO4EU,47.0,1500.0,2000.0,7500.0,1.0,Medium,34.079,26.118000000000002,114.674,33.285
ID_BL4OTP,62.0,2240000.0,400000.0,26880000.0,9.0,High,25.391,32.149,81.20400000000001,11.719
ID_R3BFKB,53.0,40.0,240.0,480.0,0.0,Low,37.759,31.314,115.53200000000001,34.221
ID_H6T1NT,37.0,8000.0,5000.0,50000.0,13.0,Low,39.646,57.26700000000001,115.19300000000001,35.157
ID_QTAYBG,34.0,1500.0,800.0,500.0,0.0,Low,14.938,49.818,79.218,22.502
ID_5K9IT5,40.0,720.0,,,11.0,Low,37.759,34.896,115.19300000000001,34.221
ID_6DTVLD,47.0,50.0,1440.0,2400.0,20.0,Medium,21.058,34.896,66.65100000000001,34.221
ID_LXMV2Z,28.0,150.0,720.0,1800.0,4.0,Low,22.278,34.896,115.70500000000001,34.221
ID_JO7C5Q,40.0,20.0,168.0,240.0,,Low,21.058,34.216,113.99600000000001,34.221
ID_6JNSCZ,27.0,500000.0,250000.0,360000.0,2.0,Medium,18.604,45.654,80.69200000000001,11.719
ID_RBRXDY,58.0,2000.0,1200.0,5000.0,0.0,Low,20.513,39.45,79.218,22.502
ID_MHCBEO,61.0,,,,1.0,Low,21.058,25.720000000000002,115.53200000000001,34.221
ID_8KPQPJ,41.0,800000.0,400000.0,9550000.0,3.0,Low,35.874,45.654,81.20400000000001,33.285
ID_I5B9OI,23.0,400000.0,480000.0,5200000.0,1.0,Low,21.611,45.654,81.20400000000001,36.092999999999996
ID_87M5C6,93.0,3900.0,1500.0,2000.0,3.0,Low,20.513,39.45,79.56400000000001,23.438
ID_SPI0VP,38.0,100000.0,400000.0,4000000.0,4.0,Medium,25.391,53.47,80.69200000000001,11.719
ID_D32LX2,42.0,2500.0,5000.0,350000.0,5.0,Medium,39.646,54.68200000000001,66.47800000000001,33.285
ID_MPQ0HZ,46.0,15000.0,1500.0,6000.0,13.0,Low,34.079,48.09100000000001,115.70500000000001,35.157
ID_JB4HLL,32.0,2500.0,4000.0,14000.0,1.0,Medium,44.554,40.08,66.99000000000001,33.285
ID_VZLSG5,18.0,,,,0.0,Medium,33.412,47.626000000000005,101.315,34.221
ID_ZEEDHH,41.0,800.0,300.0,800.0,2.0,Medium,27.853,48.77100000000001,66.47800000000001,35.157
ID_3XUXNB,38.0,8000.0,12000.0,19200.0,0.0,Low,27.853,39.4,114.674,33.285
ID_03DAZ3,36.0,560000.0,400000.0,6720000.0,7.0,Medium,30.299,44.974000000000004,57.127,33.285
ID_8TIR0P,52.0,3000.0,1700.0,3000.0,3.0,Medium,44.554,48.77100000000001,66.65100000000001,37.028999999999996
ID_JAV6NI,32.0,35000.0,108000.0,20000.0,11.0,Low,23.512,45.63400000000001,80.69200000000001,35.157
ID_BEC41R,44.0,4400.0,380.0,1100.0,10.0,Medium,27.853,41.400000000000006,66.99000000000001,35.157
ID_1N97NF,36.0,210000.0,20000.0,5000000.0,2.0,Low,30.299,48.111000000000004,81.20400000000001,33.285
ID_CVPNX4,32.0,120000.0,500.0,4000.0,10.0,Low,24.732,46.31400000000001,80.69200000000001,36.092999999999996
ID_26ASF3,38.0,300.0,1800.0,3600.0,4.0,Low,38.979,34.896,115.19300000000001,34.221
ID_YL65PX,32.0,50.0,,,2.0,Low,37.759,34.896,115.02000000000001,34.221
ID_O98IBO,64.0,500.0,300.0,500.0,2.0,Low,14.938,27.555,79.56400000000001,22.502
ID_9PVMTM,35.0,6000.0,500.0,3000.0,2.0,Medium,11.15,35.196000000000005,79.56400000000001,22.502
ID_XGF73N,39.0,20.0,240.0,600.0,13.0,Low,22.278,34.896,115.53200000000001,34.221
ID_325CAM,32.0,1600.0,1200.0,2800.0,2.0,Low,27.853,41.400000000000006,115.186,35.157
ID_UA9GYD,40.0,20000.0,6000.0,11000.0,11.0,Low,30.974,48.77100000000001,81.20400000000001,33.285
ID_I8E8QK,24.0,750000.0,7200000.0,9000000.0,1.0,Medium,32.753,56.607,81.20400000000001,33.285
ID_0MDX1Z,44.0,120000.0,180000.0,400000.0,10.0,Low,24.732,48.77100000000001,80.69200000000001,33.285
ID_I1COXP,26.0,30.0,276.0,360.0,2.0,Low,37.759,34.896,115.02000000000001,34.221
ID_JE2OTB,35.0,60.0,480.0,240.0,0.0,Low,22.278,34.896,115.53200000000001,34.221
ID_D0LKD9,32.0,35.0,1080.0,3600.0,9.0,Medium,21.058,26.400000000000002,56.4,33.285
ID_KJW6NY,58.0,400.0,200.0,5000.0,1.0,Low,44.554,25.848,115.53200000000001,35.157
ID_L7L9BG,36.0,150000.0,130000.0,200000.0,15.0,Low,21.611,45.654,81.20400000000001,33.285
ID_O6RHD5,25.0,300000.0,165000.0,400000.0,19.0,Low,30.299,44.974000000000004,81.20400000000001,33.285
ID_6WU6HJ,25.0,390.0,,,2.0,Low,37.759,34.896,115.53200000000001,34.221
ID_DXX8TF,44.0,360000.0,240000.0,360000.0,13.0,Low,33.42,44.974000000000004,81.20400000000001,33.285
ID_QHE4QG,37.0,2000.0,400.0,1500.0,6.0,Low,27.853,40.720000000000006,115.02000000000001,35.157
ID_NPA25B,31.0,260.0,6240.0,6240.0,1.0,Low,38.979,34.896,115.70500000000001,33.285
ID_RG29D2,66.0,5000.0,50000.0,86000.0,27.0,Medium,38.987,48.576,121.42200000000001,35.157
ID_MRRRIS,28.0,50.0,5400.0,3600.0,12.0,Low,22.278,34.216,115.53200000000001,34.221
ID_Z5TV6G,52.0,8000.0,350000.0,500000.0,10.0,High,37.653,56.00200000000001,115.19300000000001,33.285
ID_UXVT3O,35.0,97.0,97.0,97.0,2.0,Medium,11.15,34.536,79.218,22.502
ID_SRLXP4,53.0,120.0,1000.0,2500.0,3.0,Low,38.979,39.81,115.02000000000001,33.285
ID_TWD1XM,68.0,600.0,350.0,500.0,3.0,Low,27.853,40.08,115.53200000000001,35.157
ID_54696Q,28.0,1500.0,15000.0,40000.0,1.0,Low,44.009,48.09100000000001,114.674,35.157
ID_AJ4MH7,57.0,1500.0,300.0,1000.0,3.0,Low,20.513,34.536,79.56400000000001,23.438
ID_6F5Q4M,36.0,30000.0,5000.0,10000.0,,Low,24.732,45.654,81.20400000000001,33.285
ID_19IWBU,65.0,450.0,1500.0,6000.0,5.0,Low,22.278,34.216,115.02000000000001,34.221
ID_RZJK9E,58.0,2000.0,12000.0,15000.0,1.0,Low,27.853,41.400000000000006,115.186,35.157
ID_FAAYFA,43.0,640000.0,35000.0,7680000.0,18.0,Low,23.512,47.431000000000004,81.20400000000001,33.285
ID_VKKZCO,40.0,100.0,46800.0,54000.0,8.0,Low,33.412,34.896,115.02000000000001,34.221
ID_FR7CL6,57.0,1500.0,4000.0,1500.0,12.0,Low,27.853,40.720000000000006,115.19300000000001,33.285
ID_BQ6FWS,38.0,2500.0,500.0,2500.0,7.0,Low,20.513,35.196000000000005,79.56400000000001,23.438
ID_JXLFN7,25.0,360.0,228.0,360.0,1.0,Medium,20.513,35.196000000000005,79.218,23.438
ID_FHS2QJ,61.0,1000.0,350.0,500.0,2.0,Medium,11.15,38.784000000000006,79.218,22.502
ID_I5RYBN,43.0,250.0,1560.0,3600.0,5.0,Medium,38.979,34.216,120.91000000000001,34.221
ID_87JLGT,37.0,65000.0,2500.0,25000.0,11.0,Low,27.178,48.111000000000004,81.20400000000001,33.285
ID_U803JW,29.0,97.0,500.0,1000.0,1.0,Low,22.967,55.392,79.218,22.502
ID_QLREYL,45.0,3200.0,,,5.0,Medium,37.759,34.896,56.061,34.221
ID_4MHXSG,28.0,50000.0,25000.0,75000.0,8.0,Low,29.079,45.654,80.69200000000001,35.157
ID_JYZ8XU,47.0,500.0,700.0,1000.0,13.0,Low,26.633000000000003,39.4,115.53200000000001,35.157
ID_DG6FWR,54.0,2850.0,150.0,3000.0,5.0,Low,20.513,34.536,79.73700000000001,22.502
ID_OFN1BW,47.0,300.0,72000.0,36000.0,1.0,Low,21.058,34.896,115.02000000000001,34.221
ID_929U6W,34.0,1500.0,288000.0,360000.0,1.0,Low,38.987,40.720000000000006,115.02000000000001,33.285
ID_PWHVF8,28.0,45000.0,3000.0,8000.0,3.0,Low,33.42,37.818000000000005,81.20400000000001,35.157
ID_9ODM7K,30.0,5000.0,5500.0,6000.0,2.0,Medium,20.513,34.536,79.218,23.438
ID_PPRILU,58.0,97.0,97.0,97.0,5.0,Low,18.059,49.818,79.56400000000001,22.502
ID_E06QWF,42.0,150.0,600.0,3000.0,3.0,Medium,22.278,34.216,66.47800000000001,34.221
ID_NA31XB,31.0,1000.0,1500.0,4000.0,1.0,Low,27.853,48.77100000000001,115.53200000000001,33.285
ID_2QDPQF,39.0,100.0,9000.0,14400.0,1.0,Low,38.979,25.720000000000002,115.02000000000001,34.221
ID_2XE9GU,38.0,700.0,6000.0,8400.0,3.0,High,38.979,34.896,57.3,12.655
ID_RAVPX0,31.0,700.0,1524.0,100800.0,9.0,Low,32.192,34.216,115.53200000000001,34.221
ID_65KXVF,40.0,80000.0,65000.0,15000.0,2.0,Medium,34.079,48.576,115.02000000000001,33.285
ID_50LMBV,63.0,5750.0,4800.0,3750.0,19.0,Medium,20.513,39.45,80.07600000000001,22.502
ID_I95UJQ,32.0,30.0,,,10.0,Medium,21.058,34.896,105.11500000000001,34.221
ID_B2EGIC,33.0,120.0,,,14.0,Medium,21.058,34.896,66.47800000000001,33.285
ID_3AO8DZ,34.0,150.0,420.0,3000.0,8.0,Low,38.979,34.896,115.02000000000001,34.221
ID_SC4TW8,45.0,300.0,2400.0,6480.0,6.0,Medium,22.278,34.896,55.888,34.221
ID_VQJ4U4,32.0,500.0,100.0,300.0,1.0,Medium,17.392,35.196000000000005,79.218,23.438
ID_E6JSXD,49.0,1800.0,,,23.0,Low,37.759,34.896,115.02000000000001,34.221
ID_S2NU4B,39.0,150000.0,40000.0,80000.0,5.0,Low,33.42,44.974000000000004,80.69200000000001,36.092999999999996
ID_OHE7KY,46.0,30000.0,128400.0,2640000.0,3.0,High,38.987,49.21600000000001,56.4,33.285
ID_TIR3PO,28.0,96.0,360.0,480.0,1.0,Low,22.278,34.896,115.02000000000001,34.221
ID_GSS8K5,52.0,3400.0,3500.0,7800.0,24.0,Low,45.888,55.36200000000001,115.02000000000001,33.285
ID_K6TX2I,61.0,30.0,240.0,120.0,3.0,Low,21.058,34.896,115.02000000000001,34.221
ID_6DAB4Q,36.0,50.0,240.0,1800.0,1.0,Low,22.278,34.896,115.53200000000001,34.221
ID_FI389P,30.0,860.0,5040.0,4800.0,20.0,Low,37.759,34.216,115.02000000000001,34.221
ID_3CNRY5,41.0,174.0,1200.0,2088.0,12.0,Medium,22.278,34.556000000000004,66.47800000000001,33.285
ID_FC5TM1,44.0,100.0,1200.0,2400.0,10.0,Low,38.979,34.896,115.53200000000001,34.221
ID_MMXIXV,49.0,1000.0,1900.0,3000.0,4.0,Medium,27.853,48.77100000000001,66.99000000000001,33.285
ID_8AX40D,29.0,1000.0,54000.0,96000.0,2.0,Medium,34.079,57.26700000000001,114.674,35.157
ID_9M0TTD,64.0,7091.0,2935.0,291.0,10.0,Low,18.059,49.818,79.56400000000001,23.438
ID_48EEGE,32.0,1200.0,3600.0,14400.0,0.0,Low,38.979,34.896,115.70500000000001,34.221
ID_9DS2UL,31.0,500.0,43000.0,55000.0,2.0,Low,38.987,48.09100000000001,114.674,33.285
ID_QCYH20,41.0,1500.0,1000.0,2000.0,1.0,Low,49.462,48.77100000000001,114.674,33.285
ID_NN16UX,71.0,3000.0,22000.0,30000.0,13.0,Low,39.646,57.26700000000001,115.53200000000001,33.285
ID_9ZGNX3,68.0,8000.0,600.0,9000.0,13.0,Low,26.633000000000003,48.77100000000001,115.70500000000001,35.157
ID_446Q16,37.0,3000.0,32000.0,66000.0,11.0,High,34.095,40.720000000000006,66.99000000000001,33.285
ID_4ZUZ0P,57.0,5000.0,500.0,2500.0,1.0,Low,20.513,35.196000000000005,79.218,22.502
ID_SKZO3I,46.0,1500.0,3000.0,11000.0,5.0,Low,38.987,56.587,115.02000000000001,35.157
ID_H97Y8P,68.0,500.0,150.0,2500.0,15.0,Medium,11.15,34.536,79.56400000000001,22.502
ID_J2D8CL,32.0,2500.0,1000.0,6000.0,0.0,Low,50.796,41.400000000000006,115.186,33.285
ID_DQZG2R,36.0,5000.0,150000.0,30000000.0,6.0,Low,30.299,48.77100000000001,80.69200000000001,35.157
ID_IAL2YV,27.0,180000.0,80000.0,36000000.0,4.0,Low,24.171,40.275000000000006,81.20400000000001,35.157
ID_BRQW52,49.0,1500.0,900.0,3000.0,15.0,Low,17.392,34.536,79.56400000000001,22.502
ID_XP5UCB,62.0,200.0,600.0,1800.0,25.0,Low,22.278,34.216,115.53200000000001,34.221
ID_25ZHL0,35.0,100000.0,72000.0,150000.0,15.0,Medium,21.611,45.654,81.20400000000001,33.285
ID_5GIEUU,42.0,200.0,43200.0,28800.0,1.0,Low,21.058,34.216,115.70500000000001,34.221
ID_ZGRSPI,32.0,550000.0,250000.0,6600000.0,7.0,Low,25.391,46.31400000000001,80.69200000000001,33.285
ID_7D9ALK,59.0,6000.0,120.0,300.0,10.0,Medium,21.611,48.77100000000001,66.99000000000001,35.157
ID_QXPH1Y,60.0,200.0,1500.0,2000.0,1.0,Medium,20.513,39.45,79.73,22.502
ID_6VGTVY,38.0,55000.0,19000.0,50000.0,9.0,High,34.079,49.896,73.05300000000001,35.157
ID_IMNM4Z,44.0,60000.0,6000.0,20000.0,2.0,Low,24.732,48.111000000000004,81.20400000000001,33.285
ID_K4K1W7,28.0,50.0,480.0,1080.0,5.0,Low,38.979,34.896,145.098,34.221
ID_1L0BZI,32.0,250000.0,3500000.0,5000000.0,3.0,Low,24.732,45.974000000000004,81.20400000000001,33.285
ID_W1H19K,40.0,100.0,540.0,300.0,2.0,Medium,22.278,34.896,65.45400000000001,33.285
ID_9ARAU7,55.0,97.0,97.0,97.0,8.0,Medium,11.15,34.536,79.73700000000001,22.502
ID_GGO9DV,40.0,900.0,1800.0,4500.0,5.0,Low,27.853,41.400000000000006,115.53200000000001,33.285
ID_XBVG42,36.0,120.0,2880.0,1440.0,10.0,Medium,33.412,34.216,66.99000000000001,34.221
ID_40VRSS,63.0,300.0,120.0,600.0,10.0,Low,20.513,40.11,80.07600000000001,23.438
ID_8E5SFE,34.0,3000.0,500.0,1000.0,5.0,Low,19.846,41.321999999999996,79.56400000000001,22.502
ID_AHTHSJ,42.0,5000.0,10000.0,15000.0,0.0,High,32.859,39.4,56.4,33.285
ID_8N1R57,38.0,3000.0,7800.0,14400.0,2.0,Medium,33.412,34.896,62.595,34.221
ID_C0TW4H,46.0,900000.0,150000.0,300000.0,10.0,Low,24.171,56.587,80.69200000000001,33.285
ID_CSRK5S,71.0,2900.0,1000.0,2000.0,1.0,Low,17.392,34.536,79.73,23.438
ID_7U1NVM,34.0,4000.0,200.0,400.0,1.0,Low,20.513,34.536,80.07600000000001,23.438
ID_RZCV3H,41.0,1500.0,1600.0,4000.0,1.0,Medium,11.15,34.536,79.218,22.502
ID_FDITNK,30.0,1000.0,1920.0,7200.0,2.0,Medium,33.412,30.634,67.16300000000001,34.221
ID_M8FHCC,33.0,50000.0,10000.0,18000.0,14.0,Medium,26.633000000000003,46.31400000000001,81.20400000000001,35.157
ID_J4XYBR,46.0,500.0,1200.0,1500.0,1.0,Medium,27.853,39.4,66.47800000000001,33.285
ID_MKRY7I,44.0,700.0,476.0,700.0,6.0,Medium,11.15,35.196000000000005,80.24900000000001,23.438
ID_UZZTL2,43.0,22.0,132.0,120.0,5.0,Low,21.058,34.896,115.53200000000001,34.221
ID_59GMQ2,40.0,1350.0,50.0,250.0,23.0,Medium,11.15,40.11,79.56400000000001,23.438
ID_G9RFGX,43.0,50.0,240.0,1200.0,5.0,Low,22.278,34.216,115.02000000000001,34.221
ID_0GAKAS,40.0,40000.0,20000.0,40000.0,2.0,Medium,24.732,45.654,80.69200000000001,35.157
ID_LD5OBQ,46.0,10000.0,4000.0,8000.0,6.0,Medium,11.15,34.536,80.07600000000001,22.502
